URL,Page Type,Audience,Purpose,Primary Keyword,Index Status,Sitemap Status,Primary CTA,Internal Links,Recommended Action,Reason
/blog/oral-vs-injectable-weight-loss-medications,Blog Article,Weight-loss patients,Oral vs Injectable Weight Loss Medications (2026): GLP-1 &amp; Beyond | Siya Hea,Oral vs Injectable Weight Loss Medications: What to Know (2026),index,in sitemap,,3,Keep,SEO / educational; periodic review
/blog/oral-vs-topical-minoxidil-which-is-right,Blog Article,Men’s health patients,Oral vs Topical Minoxidil for Hair Loss (2026) | Siya Health,Oral vs Topical Minoxidil: Which Is Right? (2026),index,in sitemap,,7,Keep,SEO / educational; periodic review
/blog/phentermine-for-weight-loss-safety-and-effectiveness,Blog Article,Weight-loss patients,Phentermine for Weight Loss: Safety &amp; Effectiveness in 2026 | Siya Health,Phentermine for Weight Loss: Safety and Effectiveness (2026),index,in sitemap,,2,Keep,SEO / educational; periodic review
/blog/pots-and-adhd,Blog Article,Adults with ADHD concerns,"POTS and ADHD: Shared Symptoms, Overlap &amp; What Research Shows | Siya Health",POTS and ADHD: Why Researchers Are Exploring the Connection,index,in sitemap,,2,Keep,SEO / educational; periodic review
/blog/semaglutide-for-weight-loss-how-it-works,Blog Article,Weight-loss patients,Semaglutide for Weight Loss: How It Works in 2026 (GLP-1 Science) | Siya Health,Semaglutide for Weight Loss: How It Works (2026 Clinical Overview),index,in sitemap,,8,Keep,SEO / educational; periodic review
/blog/sildenafil-for-erectile-dysfunction-what-to-expect,Blog Article,Men’s health patients,Sildenafil for Erectile Dysfunction: What to Expect (2026) | Siya Health,Sildenafil for Erectile Dysfunction: What to Expect (2026),index,in sitemap,,4,Keep,SEO / educational; periodic review
/blog/sleep-apnea-fatigue-metabolic-risk-when-snoring-is-not-benign,Blog Article,General patients,"Sleep Apnea, Fatigue &amp; Metabolic Risk: When Snoring Is Not Benign | Siya Hea","Sleep Apnea, Fatigue, and Metabolic Risk: When Snoring Is Not Benign",index,in sitemap,,8,Keep,SEO / educational; periodic review
/blog/telehealth,Blog Hub,General patients,Telehealth Articles (2026) — Online ADHD Diagnosis &amp; Safe Prescribing | Siya,Telehealth articles,index,in sitemap,,155,Keep,SEO / educational; periodic review
/blog/telehealth-prescriptions-how-online-treatment-works,Blog Article,General patients,Telehealth Prescriptions: How Online Treatment Works (2026) | Siya Health,Telehealth Prescriptions: How Online Treatment Works (2026),index,in sitemap,,5,Keep,SEO / educational; periodic review
/blog/tirzepatide-vs-semaglutide-which-is-better,Blog Article,Weight-loss patients,Tirzepatide vs Semaglutide for Weight Loss (2026): Compare GLP-1 Options | Siya ,Tirzepatide vs Semaglutide: Which Is Better for Weight Loss? (2026),index,in sitemap,,4,Keep,SEO / educational; periodic review
/blog/vyvanse-vs-adderall-differences,Blog Article,General patients,Vyvanse vs Adderall: Which Lasts Longer for Adult ADHD? | Siya Health,Vyvanse vs Adderall: Which Lasts Longer for Adults?,index,in sitemap,,6,Keep,SEO / educational; periodic review
/blog/weight-loss,Blog Hub,Weight-loss patients,Weight Loss Articles (2026) — GLP-1 &amp; Medical Metabolic Care | Siya Health B,Weight loss articles,index,in sitemap,,155,Keep,SEO / educational; periodic review
/blog/when-is-testosterone-therapy-appropriate,Blog Article,Men’s health patients,When Is Testosterone Therapy Appropriate? (2026 Guide) | Siya Health,When Is Testosterone Therapy Appropriate? (2026),index,in sitemap,,6,Keep,SEO / educational; periodic review
/blog/why-am-i-always-tired-causes-when-to-see-doctor,Blog Article,Men’s health patients,Why Am I Always Tired? Causes and When to See a Doctor | Siya Health,Why Am I Always Tired? Causes and When to See a Doctor,index,in sitemap,,17,Keep,SEO / educational; periodic review
/blog/youre-not-lazy-signs-undiagnosed-adult-adhd,Blog Article,Adults with ADHD concerns,"You’re Not Lazy: Undiagnosed Adult ADHD Signs | TX, PA, FL | Siya Health",You’re Not Lazy: Signs You May Have Undiagnosed Adult ADHD,index,in sitemap,,16,Keep,SEO / educational; periodic review
/book-appointment,Service Page,General patients,Book an Appointment | Siya Health,Choose How You Want to Get Started,index,in sitemap,,155,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/creyos-adhd-testing,Service Page,Adults with ADHD concerns,Creyos ADHD Testing Online | Part of $199 Evaluation | Siya Health,Creyos ADHD Testing (Included in Your Evaluation),index,in sitemap,,6,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/intake,Utility,Converting patients,Secure Intake | Siya Health,,noindex,in sitemap,,,Noindex,"Utility/conversion page; keep noindex, out of sitemap"
/labs,Service Page,General patients,Diagnostic Lab Services | Siya Health,Diagnostic Lab Services,index,in sitemap,,162,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/legal,Legal,All / regulators,Legal &amp; Compliance | Siya Health,Legal & Compliance,index,in sitemap,,163,Keep,Compliance; counsel-sourced
/legal/controlled-substance-treatment-agreement,Legal,All / regulators,Controlled Substance Treatment Agreement | Siya Health,Controlled Substance Treatment Agreement,index,in sitemap,,87,Keep,Compliance; counsel-sourced
/legal/cookie-policy,Legal,All / regulators,Cookie Policy | Siya Health,Cookie Policy,index,in sitemap,,163,Keep,Compliance; counsel-sourced
/legal/notice-of-privacy-practices,Legal,All / regulators,Notice of Privacy Practices | Siya Health,Notice of Privacy Practices,index,in sitemap,,164,Keep,Compliance; counsel-sourced
/legal/privacy-policy,Legal,All / regulators,Privacy Policy | Siya Health,Privacy Policy,index,in sitemap,,164,Keep,Compliance; counsel-sourced
/legal/terms-of-use,Legal,All / regulators,Terms of Use | Siya Health,Terms of Use,index,in sitemap,,164,Keep,Compliance; counsel-sourced
/mens-health-longevity,Service Page,Men’s health patients,Men's Health &amp; Longevity | Siya Health,"When energy, drive, and focus don't feel like they used to",index,in sitemap,,157,Keep,Blueprint-aligned core service page
/online-adhd-test,Page,Adults with ADHD concerns,Online ADHD Test &amp; Screening (Free) | Siya Health,,noindex,not in sitemap,,,Redirect,Legacy shell; 301 → /adhd-screening already live in vercel.json
/prescriptions,Service Page,General patients,Online Prescription Services | Siya Health,Online Prescription Services,index,in sitemap,,7,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/pricing,Page,General patients,Pricing | Siya Health,Transparent pricing for physician-led care,index,in sitemap,,157,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/primary-urgent-care,Service Page,General patients,Concierge Primary Care | Siya Health,"Primary & Urgent Care — Virtual, Same-Week",index,in sitemap,,7,Standardize,Keep URL/SEO; align copy+structure to service blueprint
/privacy-policy,Page,General patients,Privacy Policy Redirect | Siya Health,,noindex,not in sitemap,,,Redirect,Legacy shell; 301 → /legal/privacy-policy already live in vercel.json
/providers,Provider Hub,Prospective patients,Our Care Team | Siya Health,Our Care Team,index,in sitemap,,164,Keep,E-E-A-T / trust
/providers/derek-timbs,Provider Profile,Prospective patients,"Derek Timbs, FNP-BC | Medical Weight Loss &amp; Men's Health | Siya Health","Derek Timbs, FNP-BC",index,in sitemap,,8,Keep,E-E-A-T / trust
/providers/dr-natasha-desai,Provider Profile,Prospective patients,"Dr. Natasha Desai, MD | Adult ADHD &amp; Family Medicine | Siya Health","Dr. Natasha Desai, MD",index,in sitemap,,18,Keep,E-E-A-T / trust
/providers/dr-sneh-pandey,Provider Profile,Prospective patients,"Dr. Sneh Pandey, MD | Adult ADHD &amp; Metabolic Care | Siya Health","Dr. Sneh Pandey, MD",index,in sitemap,,35,Keep,E-E-A-T / trust
/providers/dr-swati-pandey,Provider Profile,Prospective patients,"Dr. Swati Pandey, MD | Internal Medicine &amp; Adult ADHD | Siya Health","Dr. Swati Pandey, MD",index,in sitemap,,11,Keep,E-E-A-T / trust
/providers/dr-vanessa-urbina,Provider Profile,Prospective patients,"Dr. Vanessa Urbina, MD | Family Medicine &amp; ADHD | Siya Health","Dr. Vanessa Urbina, MD",index,in sitemap,,15,Keep,E-E-A-T / trust
/providers/megan-wunderlich,Provider Profile,Prospective patients,"Megan Wunderlich, FNP-C | ADHD &amp; Mental Health Telehealth | Siya Health","Megan Wunderlich, FNP-C",index,in sitemap,,10,Keep,E-E-A-T / trust
/providers/wendy-delgado,Provider Profile,Prospective patients,"Wendy Delgado, PA-C | Medical Weight Loss Telehealth | Siya Health","Wendy Delgado, PA-C",index,in sitemap,,5,Keep,E-E-A-T / trust
/redirect/adhd-evaluation,Utility,Converting patients,Starting Your ADHD Evaluation | Siya Health,,noindex,not in sitemap,,,Noindex,"Utility/conversion page; keep noindex, out of sitemap"
/redirect/adhd-walkthrough,Utility,Converting patients,Booking Your Free Meet &amp; Greet (Legacy Path) | Siya Health,,noindex,not in sitemap,,,Noindex,"Utility/conversion page; keep noindex, out of sitemap"
/redirect/chat,Utility,Converting patients,Connecting to Secure Medical Chat | Siya Health,,noindex,not in sitemap,,,Noindex,"Utility/conversion page; keep noindex, out of sitemap"
/redirect/meet-greet,Utility,Converting patients,Booking Your Free Meet &amp; Greet | Siya Health,,noindex,not in sitemap,,,Noindex,"Utility/conversion page; keep noindex, out of sitemap"
/siya-circle,Page,General patients,Siya Circle | Free Health Education Newsletter,,noindex,not in sitemap,,,Redirect,Legacy shell; 301 → external GHL form already live in vercel.json
/telehealth,Service Page,General patients,Virtual Medical Care | Siya Health Telehealth,Need a doctor without rearranging your entire day?,index,in sitemap,,164,Keep,Blueprint-aligned core service page
/terms,Page,General patients,Terms Redirect | Siya Health,,noindex,not in sitemap,,,Redirect,Legacy shell; 301 → /legal/terms-of-use already live in vercel.json
/weight-loss-metabolic-health,Service Page,Weight-loss patients,Provider-Guided Medical Weight Loss | Siya Health,"When your appetite, energy, and weight stop making sense",index,in sitemap,,164,Keep,Blueprint-aligned core service page
/womens-health,Page,Men’s health patients,Women's Health &amp; Hormone Care | Siya Health,"Women's Health — Hormones, PCOS, Whole-Person Care",index,in sitemap,,155,Standardize,Keep URL/SEO; align copy+structure to service blueprint
